,t,delta_t,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,ap42
0,1541149509796,1927,0.5833333333333334,0.25,0.5833333333333334,0.5,0.5833333333333334,0.48333333333333334,0.25,0.25,0.48333333333333334,0.25,0.5166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2,0.55,0.5666666666666667,0.8166666666666667,0.55,0.5666666666666667,0.8166666666666667,0.8166666666666667,0.5666666666666667,0.7333333333333333,0.55,0.7333333333333333,0.5666666666666667,0.7,0.8166666666666667,0.5666666666666667,0.7166666666666667,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1541149524434,16565,0.65,0.2833333333333333,0.65,0.7166666666666667,0.65,0.7166666666666667,0.26666666666666666,0.2833333333333333,0.6833333333333333,0.2833333333333333,0.7166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2833333333333333,0.6833333333333333,0.6333333333333333,1.0333333333333334,0.6666666666666666,0.6333333333333333,1.0333333333333334,1.0333333333333334,0.6333333333333333,0.8333333333333334,0.65,0.8333333333333334,0.6333333333333333,0.9666666666666667,1.0333333333333334,0.6333333333333333,0.85,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1541149524458,16589,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.2833333333333333,0.0,0.0,0.2,0.16666666666666666,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1541149524488,16619,0.65,0.2833333333333333,0.65,0.7166666666666667,0.65,0.7166666666666667,0.26666666666666666,0.2833333333333333,0.6833333333333333,0.2833333333333333,0.7166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2833333333333333,0.6833333333333333,0.6333333333333333,1.0333333333333334,0.6666666666666666,0.6333333333333333,1.0333333333333334,1.0333333333333334,0.6333333333333333,0.8333333333333334,0.65,0.8333333333333334,0.6333333333333333,0.9666666666666667,1.0333333333333334,0.6333333333333333,0.85,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1541149524509,16640,0.65,0.2833333333333333,0.65,0.7166666666666667,0.65,0.0,0.26666666666666666,0.2833333333333333,0.0,0.2833333333333333,0.0,0.5833333333333334,0.2,0.16666666666666666,0.2833333333333333,0.0,0.6333333333333333,0.0,0.0,0.6333333333333333,0.0,0.0,0.6333333333333333,0.0,0.65,0.0,0.6333333333333333,0.0,0.0,0.6333333333333333,0.0,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1541149524539,16670,0.65,0.2833333333333333,0.65,0.7166666666666667,0.65,0.7166666666666667,0.26666666666666666,0.2833333333333333,0.6833333333333333,0.2833333333333333,0.7166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2833333333333333,0.6833333333333333,0.6333333333333333,1.0333333333333334,0.6666666666666666,0.6333333333333333,1.0333333333333334,1.0333333333333334,0.6333333333333333,0.8333333333333334,0.65,0.8333333333333334,0.6333333333333333,0.9666666666666667,1.0333333333333334,0.6333333333333333,0.85,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1541149524569,16700,0.65,0.2833333333333333,0.65,0.7166666666666667,0.65,0.7166666666666667,0.26666666666666666,0.2833333333333333,0.6833333333333333,0.2833333333333333,0.7166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2833333333333333,0.6833333333333333,0.6333333333333333,1.0333333333333334,0.6666666666666666,0.6333333333333333,1.0333333333333334,1.0333333333333334,0.6333333333333333,0.8333333333333334,0.65,0.8333333333333334,0.6333333333333333,0.9666666666666667,1.0333333333333334,0.6333333333333333,0.85,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1541149524590,16721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1541149524612,16743,0.65,0.2833333333333333,0.65,0.7166666666666667,0.65,0.7166666666666667,0.26666666666666666,0.2833333333333333,0.6833333333333333,0.2833333333333333,0.7166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2833333333333333,0.6833333333333333,0.6333333333333333,1.0333333333333334,0.6666666666666666,0.6333333333333333,1.0333333333333334,1.0333333333333334,0.6333333333333333,0.8333333333333334,0.65,0.8333333333333334,0.6333333333333333,0.9666666666666667,1.0333333333333334,0.6333333333333333,0.85,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1541149524632,16763,0.65,0.2833333333333333,0.65,0.0,0.65,0.0,0.26666666666666666,0.2833333333333333,0.0,0.2833333333333333,0.0,0.0,0.2,0.16666666666666666,0.2833333333333333,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
